,title,author,likes
502,Firebrand,Jessica Chobot& Erika Lewis Claudia Aguirre,"310,156"
503,Magician,Serae Kim,2.4M
504,Spirits,Joseph Grabowski Colin Lawler,"162,415"
505,Sithrah,Jason Brubaker,"271,748"
506,Thornstone,Vicente Miranda,"596,748"
507,Shadow Pirates, Sean Galloway ​ Ian Hopps Leonel Castellani,"51,321"
508,Denma,Youngsoon Yang,2.8M
509,ROB,Richard Dinnick Magda Price & Miguel Sepulveda,"63,730"
510,Metaphorical HER,James Maddox David Stoll,"183,891"
511,Knight Run,Sungmin Kim,"166,957"
512,Fantasy Sketch - The Game,Jaekyeong Um Beom Sick Cheon,"100,211"
513,Alice Elise,Nicky Soh,"134,272"
514,Aura from Another Planet,Kyusam Kim,"275,643"
515,Cyberbunk,Bradley Mason SCE,"148,332"
516,Inarime,Maria Riccio Tommaso Bennato,"121,393"
517,Acursian,John Barrowman Carole Barrowman and Erika Lewis,"35,662"
518,Descended from Divinity,San Cheon ZAINO,"260,043"
519,Nano Machine,Great H GGBG,"319,651"
520,Charming the Duke of the North,Stardustvia gachunga,"494,728"
521,The Legendary Fossil,CHUNG JONG BESI,"329,598"
522,Master of Villains,DdeokkuE Izi,"215,017"
523,I’m the Max-Level Newbie,SWING BAT WAN.Z(REDICE STUDIO),1.3M
524,Monster Duke's Daughter,Han ocean Chal Lan,"745,596"
525,This Life to the Next,jojoohee YUNO,"236,406"
526,The Wildlands,littlebobler,"110,174"
527,Mage Again,Myoung rang Sulmo,"397,052"
528,Doom Breaker,Blue-Deep,3.1M
529,Jungle Juice,Hyeong Eun JUDER,6.1M
530,Stray Souls,Maf,2.4M
531,Men of the Harem,HereLee Alphatart,8.1M
532,Nomads,Captain Juuter,"561,327"
533,Sable Curse,Little Melon,"304,561"
534,"Good Luck, Hero! ",Song Hyunju,"282,754"
535,SOLEIL,YenKin,1.1M
536,Tower of God,SIU,52.5M
537,SubZero,Junepurrr,22.5M
538,Morgana and Oz,Miyuli,4.3M
539,Mythical Errand,GGOLI,"531,662"
540,The Remarried Empress,Alphatart Sumpul,25.1M
